measurement,valid,zero_ct,flip_poly_u,flip_msg_v,random_ct,boundary_coeff
207,19000,19000,19000,19000,19000,19000
208,19000,19000,19000,19000,19000,19000
209,19000,19000,19000,19000,19000,19000
210,19000,19000,19000,19000,19000,19000
211,19000,19000,19000,19000,19000,19000
212,19000,19000,19000,19000,19000,19000
213,19000,19000,19000,19000,19000,19000
214,19000,19000,19000,19000,19000,19000
215,19000,19000,19000,19000,19000,19000
216,19000,19000,19000,19000,19000,19000
217,19000,19000,19000,19000,19000,19000
218,19000,19000,19000,19000,19000,19000
219,19000,19000,19000,19000,19000,19000
220,19000,19000,19000,19000,19000,19000
221,19000,19000,19000,19000,19000,19000
222,19000,19000,19000,19000,19000,19000
223,19000,19000,19000,19000,19000,19000
224,19000,19000,19000,19000,19000,19000
225,19000,19000,19000,19000,19000,19000
226,19000,19000,19000,19000,19000,19000
227,19000,19000,19000,19000,19000,19000
228,19000,19000,19000,19000,19000,19000
229,19000,19000,19000,19000,19000,19000
230,19000,19000,19000,19000,19000,19000
231,19000,19000,19000,19000,19000,19000
232,19000,19000,19000,19000,19000,19000
233,19000,19000,19000,19000,19000,19000
234,19000,19000,19000,19000,19000,19000
235,19000,19000,19000,19000,19000,19000
236,19000,19000,19000,19000,19000,19000
237,19000,19000,19000,19000,19000,19000
238,19000,19000,19000,19000,19000,19000
239,19000,19000,19000,19000,19000,19000
240,19000,19000,19000,19000,19000,19000
241,19000,19000,19000,19000,19000,19000
242,19000,19000,19000,19000,19000,19000
243,19000,19000,19000,19000,19000,19000
244,19000,19000,19000,19000,19000,19000
245,19000,19000,19000,19000,19000,19000
246,19000,19000,19000,19000,19000,19000
247,19000,19000,19000,19000,19000,19000
248,19000,19000,19000,19000,19000,19000
249,19000,19000,19000,19000,19000,19000
250,19000,19000,19000,19000,19000,19000
251,19000,19000,19000,19000,19000,19000
252,19000,19000,19000,19000,19000,19000
253,19000,19000,19000,19000,19000,19000
254,19000,19000,19000,19000,19000,19000
255,19000,19000,19000,19000,19000,19000
256,19000,19000,19000,19000,19000,19000
257,19000,19000,19000,19000,19000,19000
258,19000,19000,19000,19000,19000,19000
259,19000,19000,19000,19000,19000,19000
260,19000,19000,19000,19000,19000,19000
261,19000,19000,19000,19000,19000,19000
262,19000,19000,19000,19000,19000,19000
263,19000,19000,19000,19000,19000,19000
264,19000,19000,19000,19000,19000,19000
265,19000,19000,19000,19000,19000,19000
266,19000,19000,19000,19000,19000,19000
267,19000,19000,19000,19000,19000,19000
268,19000,19000,19000,19000,19000,19000
269,19000,19000,19000,19000,19000,19000
270,19000,19000,19000,19000,19000,19000
271,19000,19000,19000,19000,19000,19000
272,19000,19000,19000,19000,19000,19000
273,19000,19000,19000,19000,19000,19000
274,19000,19000,19000,19000,19000,19000
275,19000,19000,19000,19000,19000,19000
276,19000,19000,19000,19000,19000,19000
277,19000,19000,19000,19000,19000,19000
278,19000,19000,19000,19000,19000,19000
279,19000,19000,19000,19000,19000,19000
280,19000,19000,19000,19000,19000,19000
281,19000,19000,19000,19000,19000,19000
282,19000,19000,19000,19000,19000,19000
283,19000,19000,19000,19000,19000,19000
284,19000,19000,19000,19000,19000,19000
285,19000,19000,19000,19000,19000,19000
286,19000,19000,19000,19000,19000,19000
287,19000,19000,19000,19000,19000,19000
288,19000,19000,19000,19000,19000,19000
289,19000,19000,19000,19000,19000,19000
290,19000,19000,19000,19000,19000,19000
291,19000,19000,19000,19000,19000,19000
292,19000,19000,19000,19000,19000,19000
293,19000,19000,19000,19000,19000,19000
294,19000,19000,19000,19000,19000,19000
295,19000,19000,19000,19000,19000,19000
296,19000,19000,19000,19000,19000,19000
297,19000,19000,19000,19000,19000,19000
298,19000,19000,19000,19000,19000,19000
299,19000,19000,19000,19000,19000,19000
300,19000,19000,19000,19000,19000,19000
301,19000,19000,19000,19000,19000,19000
302,19000,19000,19000,19000,19000,19000
303,19000,19000,19000,19000,19000,19000
304,19000,19000,19000,19000,19000,19000
305,19000,19000,19000,19000,19000,19000
306,19000,19000,19000,19000,19000,19000
307,19000,19000,19000,19000,19000,19000
308,19000,19000,19000,19000,19000,19000
309,19000,19000,19000,19000,19000,19000
310,19000,19000,19000,19000,19000,19000
311,19000,19000,19000,19000,19000,19000
312,19000,19000,19000,19000,19000,19000
313,19000,19000,19000,19000,19000,19000
314,19000,19000,19000,19000,19000,19000
315,19000,19000,19000,19000,19000,19000
316,19000,19000,19000,19000,19000,19000
317,19000,19000,19000,19000,19000,19000
318,19000,19000,19000,19000,19000,19000
319,19000,19000,19000,19000,19000,19000
320,19000,19000,19000,19000,19000,19000
321,19000,19000,19000,19000,19000,19000
322,19000,19000,19000,19000,19000,19000
323,19000,19000,19000,19000,19000,19000
324,19000,19000,19000,19000,19000,19000
325,19000,19000,19000,19000,19000,19000
326,19000,19000,19000,19000,19000,19000
327,19000,19000,19000,19000,19000,19000
328,19000,19000,19000,19000,19000,19000
329,19000,19000,19000,19000,19000,19000
330,19000,19000,19000,19000,19000,19000
331,19000,19000,19000,19000,19000,19000
332,19000,19000,19000,19000,19000,19000
333,19000,19000,19000,19000,19000,19000
334,19000,19000,19000,19000,19000,19000
335,19000,19000,19000,19000,19000,19000
336,19000,19000,19000,19000,19000,19000
337,19000,19000,19000,19000,19000,19000
338,19000,19000,19000,19000,19000,19000
339,19000,19000,19000,19000,19000,19000
340,19000,19000,19000,19000,19000,19000
341,19000,19000,19000,19000,19000,19000
342,19000,19000,19000,19000,19000,19000
343,19000,19000,19000,19000,19000,19000
344,19000,19000,19000,19000,19000,19000
345,19000,19000,19000,19000,19000,19000
346,19000,19000,19000,19000,19000,19000
347,19000,19000,19000,19000,19000,19000
348,19000,19000,19000,19000,19000,19000
349,19000,19000,19000,19000,19000,19000
350,19000,19000,19000,19000,19000,19000
351,19000,19000,19000,19000,19000,19000
352,19000,19000,19000,19000,19000,19000
353,19000,19000,19000,19000,19000,19000
354,19000,19000,19000,19000,19000,19000
355,19000,19000,19000,19000,19000,19000
356,19000,19000,19000,19000,19000,19000
357,19000,19000,19000,19000,19000,19000
358,19000,19000,19000,19000,19000,19000
359,19000,19000,19000,19000,19000,19000
360,19000,19000,19000,19000,19000,19000
361,19000,19000,19000,19000,19000,19000
362,19000,19000,19000,19000,19000,19000
363,19000,19000,19000,19000,19000,19000
364,19000,19000,19000,19000,19000,19000
365,19000,19000,19000,19000,19000,19000
366,19000,19000,19000,19000,19000,19000
367,19000,19000,19000,19000,19000,19000
368,19000,19000,19000,19000,19000,19000
369,19000,19000,19000,19000,19000,19000
370,19000,19000,19000,19000,19000,19000
371,19000,19000,19000,19000,19000,19000
372,19000,19000,19000,19000,19000,19000
373,19000,19000,19000,19000,19000,19000
374,19000,19000,19000,19000,19000,19000
375,19000,19000,19000,19000,19000,19000
376,19000,19000,19000,19000,19000,19000
377,19000,19000,19000,19000,19000,19000
378,19000,19000,19000,19000,19000,19000
379,19000,19000,19000,19000,19000,19000
380,19000,19000,19000,19000,19000,19000
381,19000,19000,19000,19000,19000,19000
382,19000,19000,19000,19000,19000,19000
383,19000,19000,19000,19000,19000,19000
384,19000,19000,19000,19000,19000,19000
385,19000,19000,19000,19000,19000,19000
386,19000,19000,19000,19000,19000,19000
387,19000,19000,19000,19000,19000,19000
388,19000,19000,19000,19000,19000,19000
389,19000,19000,19000,19000,19000,19000
390,19000,19000,19000,19000,19000,19000
391,19000,19000,19000,19000,19000,19000
392,19000,19000,19000,19000,19000,19000
393,19000,19000,19000,19000,19000,19000
394,19000,19000,19000,19000,19000,19000
395,19000,19000,19000,19000,19000,19000
396,19000,19000,19000,19000,19000,19000
397,19000,19000,19000,19000,19000,19000
398,19000,19000,19000,19000,19000,19000
399,19000,19000,19000,19000,19000,19000
400,19000,19000,19000,19000,19000,19000
401,19000,19000,19000,19000,19000,19000
402,19000,19000,19000,19000,19000,19000
403,19000,19000,19000,19000,19000,19000
404,19000,19000,19000,19000,19000,19000
405,19000,19000,19000,19000,19000,19000
406,19000,19000,19000,19000,19000,19000
407,19000,19000,19000,19000,19000,19000
408,19000,19000,19000,19000,19000,19000
409,19000,19000,19000,19000,19000,19000
410,19000,19000,19000,19000,19000,19000
411,19000,19000,19000,19000,19000,19000
412,19000,19000,19000,19000,19000,19000
413,19000,19000,19000,19000,19000,19000
414,19000,19000,19000,19000,19000,19000
415,19000,19000,19000,19000,19000,19000
416,19000,19000,19000,19000,19000,19000
417,19000,19000,19000,19000,19000,19000
418,19000,19000,19000,19000,19000,19000
419,19000,19000,19000,19000,19000,19000
420,19000,19000,19000,19000,19000,19000
421,19000,19000,19000,19000,19000,19000
422,19000,19000,19000,19000,19000,19000
423,19000,19000,19000,19000,19000,19000
424,19000,19000,19000,19000,19000,19000
425,19000,19000,19000,19000,19000,19000
426,19000,19000,19000,19000,19000,19000
427,19000,19000,19000,19000,19000,19000
428,19000,19000,19000,19000,19000,19000
429,19000,19000,19000,19000,19000,19000
430,19000,19000,19000,19000,19000,19000
431,19000,19000,19000,19000,19000,19000
432,19000,19000,19000,19000,19000,19000
433,19000,19000,19000,19000,19000,19000
434,19000,19000,19000,19000,19000,19000
435,19000,19000,19000,19000,19000,19000
436,19000,19000,19000,19000,19000,19000
437,19000,19000,19000,19000,19000,19000
438,19000,19000,19000,19000,19000,19000
439,19000,19000,19000,19000,19000,19000
440,19000,19000,19000,19000,19000,19000
441,19000,19000,19000,19000,19000,19000
442,19000,19000,19000,19000,19000,19000
443,19000,19000,19000,19000,19000,19000
444,19000,19000,19000,19000,19000,19000
445,19000,19000,19000,19000,19000,19000
446,19000,19000,19000,19000,19000,19000
447,19000,19000,19000,19000,19000,19000
448,19000,19000,19000,19000,19000,19000
449,19000,19000,19000,19000,19000,19000
450,19000,19000,19000,19000,19000,19000
451,19000,19000,19000,19000,19000,19000
452,19000,19000,19000,19000,19000,19000
453,19000,19000,19000,19000,19000,19000
454,19000,19000,19000,19000,19000,19000
455,19000,19000,19000,19000,19000,19000
456,19000,19000,19000,19000,19000,19000
457,19000,19000,19000,19000,19000,19000
458,19000,19000,19000,19000,19000,19000
459,19000,19000,19000,19000,19000,19000
460,19000,19000,19000,19000,19000,19000
461,19000,19000,19000,19000,19000,19000
462,19000,19000,19000,19000,19000,19000
463,19000,19000,19000,19000,19000,19000
464,19000,19000,19000,19000,19000,19000
465,19000,19000,19000,19000,19000,19000
466,19000,19000,19000,19000,19000,19000
467,19000,19000,19000,19000,19000,19000
468,19000,19000,19000,19000,19000,19000
469,19000,19000,19000,19000,19000,19000
470,19000,19000,19000,19000,19000,19000
471,19000,19000,19000,19000,19000,19000
472,19000,19000,19000,19000,19000,19000
473,19000,19000,19000,19000,19000,19000
474,19000,19000,19000,19000,19000,19000
475,19000,19000,19000,19000,19000,19000
476,19000,19000,19000,19000,19000,19000
477,19000,19000,19000,19000,19000,19000
478,19000,19000,19000,19000,19000,19000
479,19000,19000,19000,19000,19000,19000
480,19000,19000,19000,19000,19000,19000
481,19000,19000,19000,19000,19000,19000
482,19000,19000,19000,19000,19000,19000
483,19000,19000,19000,19000,19000,19000
484,19000,19000,19000,19000,19000,19000
485,19000,19000,19000,19000,19000,19000
486,19000,19000,19000,19000,19000,19000
487,19000,19000,19000,19000,19000,19000
488,19000,19000,19000,19000,19000,19000
489,19000,19000,19000,19000,19000,19000
490,19000,19000,19000,19000,19000,19000
491,19000,19000,19000,19000,19000,19000
492,19000,19000,19000,19000,19000,19000
493,19000,19000,19000,19000,19000,19000
494,19000,19000,19000,19000,19000,19000
495,19000,19000,19000,19000,19000,19000
496,19000,19000,19000,19000,19000,19000
497,19000,19000,19000,19000,19000,19000
498,19000,19000,19000,19000,19000,19000
499,19000,19000,19000,19000,19000,19000
500,19000,19000,19000,19000,19000,19000
501,19000,19000,19000,19000,19000,19000
502,19000,19000,19000,19000,19000,19000
503,19000,19000,19000,19000,19000,19000
504,19000,19000,19000,19000,19000,19000
505,19000,19000,19000,19000,19000,19000
506,19000,19000,19000,19000,19000,19000
507,19000,19000,19000,19000,19000,19000
508,19000,19000,19000,19000,19000,19000
509,19000,19000,19000,19000,19000,19000
510,19000,19000,19000,19000,19000,19000
511,19000,19000,19000,19000,19000,19000
512,19000,19000,19000,19000,19000,19000
513,19000,19000,19000,19000,19000,19000
514,19000,19000,19000,19000,19000,19000
515,19000,19000,19000,19000,19000,19000
516,19000,19000,19000,19000,19000,19000
517,19000,19000,19000,19000,19000,19000
518,19000,19000,19000,19000,19000,19000
519,19000,19000,19000,19000,19000,19000
520,19000,19000,19000,19000,19000,19000
521,19000,19000,19000,19000,19000,19000
522,19000,19000,19000,19000,19000,19000
523,19000,19000,19000,19000,19000,19000
524,19000,19000,19000,19000,19000,19000
525,19000,19000,19000,19000,19000,19000
526,19000,19000,19000,19000,19000,19000
527,19000,19000,19000,19000,19000,19000
528,19000,19000,19000,19000,19000,19000
529,19000,19000,19000,19000,19000,19000
530,19000,19000,19000,19000,19000,19000
531,19000,19000,19000,19000,19000,19000
532,19000,19000,19000,19000,19000,19000
533,19000,19000,19000,19000,19000,19000
534,19000,19000,19000,19000,19000,19000
535,19000,19000,19000,19000,19000,19000
536,19000,19000,19000,19000,19000,19000
537,19000,19000,19000,19000,19000,19000
538,19000,19000,19000,19000,19000,19000
539,19000,19000,19000,19000,19000,19000
540,19000,19000,19000,19000,19000,19000
541,19000,19000,19000,19000,19000,19000
542,19000,19000,19000,19000,19000,19000
543,19000,19000,19000,19000,19000,19000
544,19000,19000,19000,19000,19000,19000
545,19000,19000,19000,19000,19000,19000
546,19000,19000,19000,19000,19000,19000
547,19000,19000,19000,19000,19000,19000
548,19000,19000,19000,19000,19000,19000
549,19000,19000,19000,19000,19000,19000
550,19000,19000,19000,19000,19000,19000
551,19000,19000,19000,19000,19000,19000
552,19000,19000,19000,19000,19000,19000
553,19000,19000,19000,19000,19000,19000
554,19000,19000,19000,19000,19000,19000
555,19000,19000,19000,19000,19000,19000
556,19000,19000,19000,19000,19000,19000
557,19000,19000,19000,19000,19000,19000
558,19000,19000,19000,19000,19000,19000
559,19000,19000,19000,19000,19000,19000
560,19000,19000,19000,19000,19000,19000
561,19000,19000,19000,19000,19000,19000
562,19000,19000,19000,19000,19000,19000
563,19000,19000,19000,19000,19000,19000
564,19000,19000,19000,19000,19000,19000
565,19000,19000,19000,19000,19000,19000
566,19000,19000,19000,19000,19000,19000
567,19000,19000,19000,19000,19000,19000
568,19000,19000,19000,19000,19000,19000
569,19000,19000,19000,19000,19000,19000
570,19000,19000,19000,19000,19000,19000
571,19000,19000,19000,19000,19000,19000
572,19000,19000,19000,19000,19000,19000
573,19000,19000,19000,19000,19000,19000
574,19000,19000,19000,19000,19000,19000
575,19000,19000,19000,19000,19000,19000
576,19000,19000,19000,19000,19000,19000
577,19000,19000,19000,19000,19000,19000
578,19000,19000,19000,19000,19000,19000
579,19000,19000,19000,19000,19000,19000
580,19000,19000,19000,19000,19000,19000
581,19000,19000,19000,19000,19000,19000
582,19000,19000,19000,19000,19000,19000
583,19000,19000,19000,19000,19000,19000
584,19000,19000,19000,19000,19000,19000
585,19000,19000,19000,19000,19000,19000
586,19000,19000,19000,19000,19000,19000
587,19000,19000,19000,19000,19000,19000
588,19000,19000,19000,19000,19000,19000
589,19000,19000,19000,19000,19000,19000
590,19000,19000,19000,19000,19000,19000
591,19000,19000,19000,19000,19000,19000
592,19000,19000,19000,19000,19000,19000
593,19000,19000,19000,19000,19000,19000
594,19000,19000,19000,19000,19000,19000
595,19000,19000,19000,19000,19000,19000
596,19000,19000,19000,19000,19000,19000
597,19000,19000,19000,19000,19000,19000
598,19000,19000,19000,19000,19000,19000
599,19000,19000,19000,19000,19000,19000
600,19000,19000,19000,19000,19000,19000
601,19000,19000,19000,19000,19000,19000
602,19000,19000,19000,19000,19000,19000
603,19000,19000,19000,19000,19000,19000
604,19000,19000,19000,19000,19000,19000
605,19000,19000,19000,19000,19000,19000
606,19000,19000,19000,19000,19000,19000
607,19000,19000,19000,19000,19000,19000
608,19000,19000,19000,19000,19000,19000
609,19000,19000,19000,19000,19000,19000
610,19000,19000,19000,19000,19000,19000
611,19000,19000,19000,19000,19000,19000
612,19000,19000,19000,19000,19000,19000
613,19000,19000,19000,19000,19000,19000
614,19000,19000,19000,19000,19000,19000
615,19000,19000,19000,19000,19000,19000
616,19000,19000,19000,19000,19000,19000
617,19000,19000,19000,19000,19000,19000
618,19000,19000,19000,19000,19000,19000
619,19000,19000,19000,19000,19000,19000
620,19000,19000,19000,19000,19000,19000
621,19000,19000,19000,19000,19000,19000
622,19000,19000,19000,19000,19000,19000
623,19000,19000,19000,19000,19000,19000
624,19000,19000,19000,19000,19000,19000
625,19000,19000,19000,19000,19000,19000
626,19000,19000,19000,19000,19000,19000
627,19000,19000,19000,19000,19000,19000
628,19000,19000,19000,19000,19000,19000
629,19000,19000,19000,19000,19000,19000
630,19000,19000,19000,19000,19000,19000
631,19000,19000,19000,19000,19000,19000
632,19000,19000,19000,19000,19000,19000
633,19000,19000,19000,19000,19000,19000
634,19000,19000,19000,19000,19000,19000
635,19000,19000,19000,19000,19000,19000
636,19000,19000,19000,19000,19000,19000
637,19000,19000,19000,19000,19000,19000
638,19000,19000,19000,19000,19000,19000
639,19000,19000,19000,19000,19000,19000
640,19000,19000,19000,19000,19000,19000
641,19000,19000,19000,19000,19000,19000
